topic_EN,topic_DE,argument_DE,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Allein die Leugnung beleidigt alle Menschen, die unter dem Regime gelitten haben. Die Bestrafung schreckt außerdem Nachahmer ab und weist die Leugner in ihre Schranken.",1,1,8,0,0,8,0.872148762,8,1,7
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Das Verstecken dieser Art von Informationen sollte mit Gefängnis bestraft werden,1,1,10,0,0,10,0.12051427,9,8,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Den Holocaust zu leugnen ist menschenverachtend und sollte unterbunden werden.,1,1,8,0,0,8,0.759616486,8,2,6
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Der Holocaust erfüllt uns mit der Angst, dass es unmöglich ist, weiterzuleben und sich an diese Tragödien zu erinnern",1,0.652028175,10,2,1,7,0.159766005,9,7,2
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Der Holocaust hat so viel Schaden angerichtet, wie wir nicht beschreiben können. Man muss damit leben",1,0.589470567,10,1,3,6,0.728717355,7,2,5
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Der Holocaust ist eine Alternative zum Selbstmord,1,0.421505332,10,4,2,4,0.087082838,9,8,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Der Holocaust ist eine Lüge, und er ist nie geschehen",-1,1,7,7,0,0,0.111952152,7,6,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Der Holocaust ist so lange her, da muss man jetzt nicht noch Leute dafür bestrefen,w enn sie da eine andere Sicht drauf haben.",-1,0.905408687,10,9,0,1,0.209739704,9,7,2
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Der Holocaust selbst ist Teil der Geschichte, er kann wahr oder falsch sein, die Menschen haben die völlige Freiheit, daran zu glauben oder ihn zu leugnen. Die Redefreiheit sollte ein heiliges Recht sein",-1,1,9,9,0,0,0.7571704,9,2,7
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Der Holocaust, der gelebt wurde, verletzte die Menschen",1,0.54345344,9,0,4,5,0.114405174,9,8,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Die Beleidigung und Schmähung von Opfern ist eine Straftat,1,1,5,0,0,5,0.572742081,5,2,3
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Die Leugnung des Holocaust beleidigt die Opfer der Shoa und ihre Angehörigen,1,0.870204704,7,0,1,6,0.865236837,7,1,6
