topic_EN,topic_ES,argument_ES,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Al penalizar la negacion al holocausto se da privilegios solo a determinada etnia / religion que en este caso es la JUDIA ya que muchos otros actos atroces se niegan sin ninguna penalizacion,-1,0.797783342,10,7,0,3,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Aquel que niega hechos historicos, incluso aquellos que no son tan sensitivos como el holocausto deberia ser penados de alguna manera",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Cada persona tiene derecho a refutar información, criminalizar la libertad de expresión es un delito aún mayor",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Cada quien tiene el dercho de decidir si creer o no en el holocausto, por eso tenemos libre albeldrio.",-1,1,10,9,1,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Claro está que holocausto pasó, negarlo sin alguna duda debería ser penado ya que de olvidarse se podría repetir.",1,1,20,0,0,20,0.844688591,12,2,10
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Contrariamente, puede definirse como una simple opinión que se ve sustentada por el derecho universal de la libre expresión.",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Convertir en un delito la negación del Holocausto, supondría un choque con el derecho de libertad de expresión",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Crearía problemas y guerras, es una falta que cualquier persona podría cometer y pagar",1,0.542959765,10,7,1,2,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Creo que la libertad de opinion es un derecho humano, por lo tanto el creer o no en un hecho historico como el holausto es potestativo e cada persona, lo cual no niega su existencia historica",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Cualquiera que niegue el Holocausto, está faltando a la verdad, a una verdad histórica sobre la que la sociedad ha de aprender para no volver a cometer errores tan atroces",1,1,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Debe considerarse un delito porque negarlo, habiendo evidencias de su existencia, constituye una forma de odio contra un grupo minoritario.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Debe ser delito y castigado, negar un genocidio contra la Humanidad no es libertad de expresión sino que constituye un delito grave. Dictadores y asesinos son los que perpetraron semejantes crímenes.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Debe ser un delito penal ,  ya que quienes niegan el Holocausto rechazan  el  plan de genocidio nazi contra los Judíos",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Debemos respetar la libertad de expresion.,-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Deberia ser tratado como ofensa criminal, al ignorar la tragedia durante esa epoca, se olvidan tambien de las personas o humanos que sufrieron debido a eso.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Debería ser un delito penal, por considerarse una matanza masiva.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Deberían  sentir vergüenza de negar el delito ya que muchas personas sufrieron por las aberraciones de un grupo que solo quería hacer daño.,1,0.932441487,20,1,0,19,0.580721552,11,5,6
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Debido a la falta de pruebas contundentes y de información clave, no se puede confirmar si el holocausto ocurrió como se cree, por lo tanto no se debe penar a las personas que duden o lo nieguen.",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Debido al impacto y daño que causó el holocausto en muchas regiones y culturas, negarlo o ignorarlo debería ser penado.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Denied the holocaust must be a criminal offence because is like rest importance to the lifes to the ones who Lost it on that moment,1,0.853435463,20,1,2,17,0.594610458,11,4,7
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Desconocer el Holocausto, no deberia considerarse delito, ya que  no hay pruebas contundentes de las violaciones de derechos humanos, ya que la historia en tiempo de guerra es poco clara",-1,1,10,9,1,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Durante el Holocausto millones de personas inocentes fueron asesinadas por sus creencias religiosas negarlo es equivalente a apoyarlo y ser complice por lo que debe ser considerado un crimen.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El Holocausto es la destrucción de una raza por caprichos de unos dementes que se consideraron raza superior.,0,0.51920013,10,0,5,5,0.341320754,5,3,2
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El Holocausto es un invento de los judios,-1,0.716403402,10,8,1,1,,,,
