topic_EN,topic_FR,argument_FR,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Aucune idée désolé je passe aux suivant,0,0.902771738,10,1,9,0,0,5,5,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Avoir le droit de nier l'Holocauste ne doit jamais être vu comme une offense ou un crime car cela serait contraire  au droit qu'a tout être humain d’exprimer son opinion en tout liberté et sécurité.,-1,1,10,10,0,0,1,10,0,10
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Avoir une opinion sur un événement qui s'est produit n'est pas un crime.,-1,1,6,6,0,0,0.261290995,6,4,2
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,C une strategie anti violence elle s'applique pour demenui la violences,1,0.703907326,10,1,2,7,0.086419095,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Ce n'est pas un crime de nier un holocauste nucléaire. Le gouvernement était chargé de fournir les informations nécessaires pour rester calme.,-1,0.791536473,10,8,1,1,0.296017396,10,6,4
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Certain pays qui n'ont pas participé au Holocaust peuvent refuser.,-1,0.719999062,10,7,0,3,0.095079487,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Certains pays n'ont pas pris part au Holocaust.,-1,0.819957461,10,8,2,0,0.053597318,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Chacun doit avoir la liberte de penser comme il veut, nier ou accepter restera toujours une question de preuves",-1,1,10,10,0,0,0.52125721,10,4,6
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Depuis que cet événement s'est produit il y a longtemps, les gens devraient se concentrer sur l'avenir",-1,1,10,10,0,0,0.088900848,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Devant une telle horreur, on ne peut pas permettre que quelqu'un puisse émettre le moindre doute sur l'existence de l'holocauste .",1,1,10,0,0,10,0.073061119,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Faire de la négation de l'Holocauste une infraction pénale viole la liberté d'expression, de la même manière que le nazisme l'a fait avec les Juifs, serait un retard.",-1,0.897173793,10,9,0,1,1,10,0,10
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Holocauste, nous ne devons pas justifier ce fait par le crime, il ne mérite donc pas de représailles",-1,0.896274275,30,27,0,3,0.414861828,9,6,3
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Il est important que les faits historiques triomphent sur les différentes options pour que les Historiens puissent analyser le tout objectivement.,1,0.897370108,10,0,1,9,0.389554229,10,6,4
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Je n'ai malheureusement pas d'argument pour contester ce sujet et je me demande qui peut en avoir,0,0.483336693,11,3,6,2,0,11,11,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Je suis d'accord dans son intégralité, cet événement ne doit pas être oublié",1,1,10,0,0,10,0.083914493,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"L'Holocauste a signifié le génocide de nombreuses vies innocentes, niant que cela s'est produit est une insulte à la mémoire de ces victimes et de leurs descendants - il doit être puni par la loi.",1,0.908829559,10,2,0,8,0.758890723,5,1,4
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,L'Holocauste est un mensonge que les Juifs ont inventé pour gagner la sympathie et la sympathie du monde parce que les Juifs sont trompeurs,-1,1,10,10,0,0,0.22499585,10,7,3
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"L'holocauste a eu des souvenirs très tristes, niez-le, est oublié tous les gens qui se sont sacrifiés et sont morts à l'arrêt toute cette folie",1,0.761397441,9,2,0,7,0.610038764,9,4,5
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,L'holocauste est un fait inventé pour nier une guerre,-1,0.91324499,10,9,0,1,0.231457203,10,7,3
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,L'holocauste nous a laissé une marque pour la vie,1,0.669987218,9,0,3,6,0,9,9,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,La liberté d'expression doit s'appliquer à tous les domaines y compris sur l'existence de l'holocauste.,-1,1,6,6,0,0,0.864144093,6,1,5
