topic_EN,topic_IT,argument_IT,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Bisogna contrastare queste forme di diffamazione razziale.,1,1,5,0,0,5,0.126174298,5,4,1
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,CERTI CRIMINI NON POSSONO E NON DEVONO ESSERE NEGATI PER EVITARE CHE SUCCEDANO ANCORA,1,0.899104396,10,1,0,9,0.840119153,6,1,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Chi dimentica un orrore così grande va sicuramente indagato, può generare un grave problema per il futuro, si deve sempre imparare del passato.",1,0.902587604,10,1,0,9,0.558610426,8,4,4
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Chi nega che l'olocausto sia avvenuto si rende complice degli efferati delitti commessi contro gli ebrei e tutti i popoli colpiti.,1,1,10,0,0,10,1,6,0,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Coloro che negano l'Olocausto hanno interesse a  svilire la portata dell'evento tragico,  quindi mancano di rispetto verso quel popolo che fu martoriato e deve essere condannato in ogni forma.",1,1,10,0,0,10,1,6,0,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Come c'è chi sostiene che il cielo è rsa e la terra è piatta c'è qualcuno che si diletta nel negare l'evidenza dei fatti, non fa male a nessuno, fa solo una pessia figura",-1,0.810084698,10,8,0,2,0.00295848,6,5,1
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Considerare la negazione dell'Olocausto al pari di un reato penale può portare ad interpretazioni faziose di opinioni e di strumentalizzazioni tra diversi schieramenti politici e filosofici.,-1,1,5,5,0,0,0.928946471,5,1,4
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Considerare reato la negazione dell'Olocausto potrebbe avere degli effetti di rebound ancora più pericolosi ed estremisti quale sfida all'autorità.,-1,0.603891932,10,6,0,4,0.256943922,8,6,2
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Credo che ognuno possa esprimere la propria opinione liberamente in democrazia.,-1,1,5,5,0,0,1,5,0,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Dobbiamo sempre ricordare cosa il genere umano può fare. Quindi il ricordo deve continuare.,1,0.808020573,5,0,1,4,0.72347593,5,1,4
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Il fatto di negare l'Olocausto non andrebbe considerato reato , piuttosto una belle visita psichiatrica a queste persone ci vorrebbe",-1,1,10,10,0,0,0.168798496,8,7,1
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,In Italia la negazione dell'olocausto è già un reato a partire dal Giugno del 2016.Sono d'accordo in quanto si contrasta la diffamazione razziale e la xenofobia.,1,1,10,0,0,10,1,6,0,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,L'olocausto è la peggior cosa che è successa nella storia dell'umanità negarlo significa correre il rischio di commettere di nuovo lo stesso errore,1,1,10,0,0,10,1,9,0,9
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,L'olocausto è stata una delle recenti tragedie del genere umano e ultimamente emergono molti negazionisti. Per evitare che il morbo dell'antisemismo si diffonda è necessario punire chi nega l'olocausto.,1,1,10,0,0,10,1,6,0,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"La libertà di parola e di espressione è un diritto costituzionale, non può essere limitata anche se per buone intenzioni.",-1,0.910523932,10,9,0,1,0.813813052,7,2,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La negazione dell'Olocausto dovrebbe essere un reato perchè rischia di incentivare la nascita e la diffusione di movimenti neonazisti tramite la falsificazione della storia.,1,1,10,0,0,10,0.911650635,7,1,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La negazione dell'Olocausto non dovrebbe essere un reato in quanto ognuno è libero di pensare basta che non commetta reati simili ad esso.,-1,1,10,10,0,0,0.727837863,6,2,4
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La negazione dell'Olocausto non dovrebbe essere un reato perchè andrebbe a minare la libertà di pensiero e di parola di un singolo individuo per quanto sbagliato possa essere.,-1,1,10,10,0,0,1,5,0,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"La negazione dell'Olocausto è un atto criminale, poiché assolve i crimini di guerra compiuti dai nazisti, offende la memoria delle vittime e crea un legame di complicità con i criminali.",1,1,10,0,0,10,0.889855811,6,1,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La negazione dell'olocausto dovrebbe essere un reato in quanto istiga all'odio raziale.,1,1,10,0,0,10,1,9,0,9
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La negazione dell'olocausto dovrebbe essere un reato. Non si può in nessun modo giustificare o approvare l'omicidio di persone innocenti per nessun motivo.,1,1,10,0,0,10,0.92377787,9,1,8
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"La negazione dell'olocausto dovrebbe essere un reato. Se questo deve essere considerato un reato, allora anche molte altre cose tipo, il femminicidio dovrebbe essere trattato come un reato.",1,0.800792741,5,0,1,4,0,5,5,0
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La negazione dell'olocausto non dovrebbe essere considerata un reato in quanto rientrante nella libertà d'espressione dell'individuo,-1,0.891985932,10,9,0,1,,,,
