topic_EN,topic_NL,argument_NL,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,ALS ontkenning van de Holocaust een strafbaar feit zou moeten zijn,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Der Holocaust brachte uns Schande, also sollten wir ihn verbieten",-1,0.725329201,10,7,0,3,0.249669437,9,7,2
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,Der Holocaust hat mein Leben beendet,-1,0.570970448,10,5,1,4,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Die Leugnung des Holocaust sollte eine Straftat sein, da sie nicht wissen, wo wir gefangen waren",1,1,10,0,0,10,1,5,0,5
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,Er is veel bewijs dat het gebeurd is.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,Het is beledigend om het brandoffer te ontkennen,1,1,10,0,0,10,0.294102117,9,6,3
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het is een misdaad om iets te ontkennen dat we in gedachten hebben, temeer daar we de afgelopen jaren zoveel testen met kernwapens hebben gezien.",1,1,10,0,0,10,0.811511684,10,2,8
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.511552966,10,0,5,5,0.374105783,10,6,4
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.511552966,10,0,5,5,0.809176995,9,2,7
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.511552966,10,0,5,5,0.199934511,10,8,2
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.511552966,10,0,5,5,0.33415722,9,6,3
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.511552966,10,0,5,5,1,5,0,5
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.511552966,10,0,5,5,0.465440933,10,5,5
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.511552966,10,0,5,5,0.108428224,10,9,1
