topic_EN,topic_DE,argument_EN,stance_label_EN,stance_conf_EN,quality_score_EN,argument_DE_ht,num_labelers_ht,stance_label_ht,stance_conf_ht,stance_pro_ht,stance_neutral_ht,stance_con_ht,quality_score_ht,quality_positive_ht,quality_negative_ht,argument_DE_mt,num_labelers_mt,stance_label_mt,stance_conf_mt,stance_pro_mt,stance_neutral_mt,stance_con_mt,quality_score_mt,quality_positive_mt,quality_negative_mt
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,the holocaust was one of the worst crimes against humanity ever and by denying it's existence you are basically saying what was done to these people didn't matter,1,1,0.85073,"Der Holocaust war eines der schlimmsten Verbrechen gegen die Menschlichkeit überhaupt, und indem Sie seine Existenz leugnen, sagen Sie im Grunde, dass das, was diesen Menschen angetan wurde, unwichtig war.",6,1,1,6,0,0,1,6,0,"Der Holocaust war eines der schlimmsten Verbrechen gegen die Menschlichkeit und leugnen Sie, dass Sie im Grunde sagen, was diesen Menschen getan wurde,",5,1,1,5,0,0,0.30891737,2,3
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,holocaust denial invalidates the horror an entire group of people experienced. survivors are still alive today and shouldn't be further harmed by someone claiming this genocide didn't happen.,1,1,0.91091,"Die Leugnung des Holocaust entkräftet den Schrecken, den eine ganze Gruppe von Menschen erlebt hat. Die Überlebenden sind heute noch am Leben und sollten nicht noch weiter geschädigt werden, wenn jemand behauptet, dieser Völkermord sei nicht geschehen.",6,1,1,6,0,0,1,6,0,"Die Leugnung der Holocaust-Leugnung des Horrors ist eine ganze Gruppe von Menschen, die erfahren haben. Überlebende sind noch heute am Leben und sollten nicht weiter geschädigt werden, wenn jemand behauptet, dieser Genozid sei nicht geschehen.",9,1,0.925271063,7,0,2,0.242572087,4,5
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,denying the holocaust is deeply offensive to survivors and their family and should not be allowed.,1,1,1,Die Leugnung des Holocaust ist für die Überlebenden und ihre Familie zutiefst beleidigend und sollte nicht zugelassen werden.,6,1,1,6,0,0,1,6,0,Die Leugnung des Holocaust ist zutiefst beleidigend für die Überlebenden und ihre Familie und sollte nicht zugelassen werden.,5,1,1,5,0,0,1,5,0
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Holocaust denial should be a criminal offence so that it is possible for liberal democratic societies to crack down on fascism early, rather than let it grow like a weed.",1,1,0.96349,"Holocaust Verleugnung sollte kriminell sein, so dass es fuer liberale demokratische Gesellschaften moeglich ist, frueh gegen Faschismus vorzugehen, statt ihn wie Unkraut wachsen zu lassen. ",5,1,1,5,0,0,1,5,0,"Die Leugnung des Holocaust sollte ein Straftatbestand sein, damit liberale demokratische Gesellschaften den Faschismus früh aufbrechen können, anstatt sie wie ein Unkraut wachsen zu lassen.",8,1,1,8,0,0,0.91722078,7,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,holocaust denial shouldn't be a criminal offence because freedom of belief and freedom of speech must be upheld. if someone wishes to believe that the holocaust never happened they can say that if they wish.,-1,1,0.89851,"Die Verleugnung des Holocaust sollte kein Verbrechen sein, weil die Glaubensfreiheit und die Redefreiheit muessen aufrechterhalten werden. Wenn jemand glauben moechte, dass der Holocaust nie geschah, koennen sie das sagen, wenn sie wuenschen.",10,-1,1,0,0,10,0.782734946,8,2,"Die Leugnung des Holocaust sollte nicht strafbar sein, denn die Glaubensfreiheit und die Redefreiheit müssen aufrechterhalten werden. Wenn jemand glauben will, dass der Holocaust nie passiert ist, können sie das sagen, wenn sie es wollen.",5,-1,0.773663975,1,0,4,0.646948117,3,2
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,denial of the holocaust will allow further holocausts and killings.,1,1,0.75755,Die Leugnung des Holocaust wird weitere Holocausts und Morde ermöglichen.,6,1,1,6,0,0,0.889404298,5,1,Die Leugnung des Holocaust wird weitere Holocausten und Morde ermöglichen.,5,1,1,5,0,0,0.803524809,4,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,holocaust denial shouldn't be a criminal offense because it goes against freedom of speech,-1,1,0.94406,"Die Verleugnung des Holocaust sollte kein Verbrechen sein, weil es gegen die Redefreiheit verstoesst.",5,-1,1,0,0,5,0.629278329,3,2,"Holocaust-Leugnung sollte keine Straftat sein, weil es gegen die Redefreiheit geht",9,-1,1,1,0,8,0.372051874,3,6
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,a person has freedom of speech and making this a crime limits a person's freedom guaranteed under this amendment,-1,0.899139492,0.70266,"Ein Mensch hat Redefreiheit und dies ein Verbrechen zu machen limitiert die Redefreiheit eines Menschen, die in dieser Gesetzesaenderung garantiert ist.",5,-1,1,0,0,5,0.164310994,1,4,"Eine Person hat die Redefreiheit und macht aus diesem Verbrechen die Freiheit einer Person, die durch diesen Änderungsantrag garantiert wird.",8,-1,0.738113307,0,2,6,0,0,8
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"free speech is the right of any person who lives in a democracy, to dictate what one can believe or deny such as the holocaust is an infringement of civil liberties.",-1,1,1,"Redefreiheit ist das Recht eines jeden Menschen, der in einer Demokratie lebt. Zu diktieren was jemand glauben oder verleugnen kann wie den Holocaust ist eine Verletzung der buergerlichen Rechte.",10,-1,1,1,0,9,0.707191189,7,3,"Freie Meinungsäußerung ist das Recht jeder Person, die in einer Demokratie lebt, zu diktieren, was man glauben oder leugnen kann, wie der Holocaust eine Verletzung der bürgerlichen Freiheiten ist.",7,-1,0.919052142,1,0,6,0,0,7
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,holocaust denial can cause hate crimes against jews,1,1,1,Leugnung des Holocaust kann zu Hassverbrechen gegen Juden führen,6,1,1,6,0,0,0.874334104,5,1,Holocaust-Leugnung kann zu Hassverbrechen gegen Jews führen,5,1,1,5,0,0,0.658918434,3,2
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"while people can have differing opinions on whether or not the holocaust happened, denying that did should not be condemned to the point of making it a criminal offence.",-1,1,0.77153,"Waehrend Leute unterschiedliche Meinungen haben, ob der Holocaust geschah oder nicht, sollte es aber nicht als kriminell verurteilt werden.",10,-1,1,1,0,9,0.24210042,3,7,"während die Menschen unterschiedliche Meinungen darüber haben können, ob der Holocaust passiert ist oder nicht, und die Leugnung, die nicht dazu verurteilt werden sollte, es zu einem Straftatbestand zu machen, verurteilt werden.",5,-1,1,0,0,5,0.126491351,1,4
