topic_EN,topic_DE,sentence_EN,evidence_label_EN,evidence_score_EN,stance_label_EN,sentence_DE_ht,evidence_label_ht,evidence_conf_ht,evidence_num_labelers_ht,evidence_accept_ht,evidence_reject_ht,stance_label_ht,stance_conf_ht,stance_num_labelers_ht,stance_pro_ht,stance_con_ht,sentence_DE_mt,evidence_label_mt,evidence_conf_mt,evidence_num_labelers_mt,evidence_accept_mt,evidence_reject_mt,stance_label_mt,stance_conf_mt,stance_num_labelers_mt,stance_pro_mt,stance_con_mt
Begging should be banned,Betteln sollte verboten werden,Devkota connects the beggar with the divine as the ultimate fount of kindness and empathy: ,1,0.6,-1,Devkota verbindet den Bettler mit dem Goettlichen als der endgueltigen Quelle von Guete und Einfuehlungsvermoegen.,0,0.60589658,10,4,6,-1,1,4,0,4,Devkota verbindet den Bettler mit dem Göttlichen als ultimative Fotze der Freundlichkeit und Empathie: ,0,0.695362555,10,4,6,-1,1,4,0,4
Begging should be banned,Betteln sollte verboten werden,"Research completed by Human Rights Watch revealed that when begging hours are completed for the day children often do not have proper shelter, adequate food, or access to healthcare where they reside .",0,0.3,1,"Eine von Human Rights Watch durchgeführte Untersuchung ergab, dass Kinder, wenn die Bettelstunden für den Tag beendet sind, am Wohnort oft keine angemessene Unterkunft, keine angemessene Nahrung und keinen Zugang zu medizinischer Versorgung haben.",1,0.638064387,10,6,4,-1,1,6,2,4,"Die von Human Rights Watch vervollstndigte Forschung hat ergeben, dass Kinder, die oft bettelt werden, für die Tageskinder oft keinen angemessenen Schutz, angemessene Nahrung oder Zugang zu medizinischer Versorgung haben, in dem sie wohnen.",1,0.837420293,11,8,3,1,1,8,5,3
Blood donation should be mandatory,Blutspende sollte obligatorisch sein,"The WHO encouraged all countries to highlight stories from people whose lives have been saved through blood donation, as a way of motivating regular blood donors to continue giving blood and people in good health who have never given blood, particularly young people, to begin doing so.  ",1,0.75,1,"DIE WHO ermuntert alle Laender die Geschichten von Menschen, deren Leben durch Blutspenden gerettet wurden, hervorzuheben, um Blutspender, die regelmaessig Blut spenden zu motivieren weiterhin zu spenden  und gesunde Menschen, die noch nie Blut gespendet haben, besonderns junge Leute, dies zu tun.",1,0.764238491,10,7,3,1,1,7,7,0,"Die WHO ermutigte alle Länder, Geschichten von Menschen hervorzuheben, deren Leben durch Blutspende gerettet wurde, als eine Möglichkeit, regelmäßige Blutspender zu motivieren, weiterhin Blut und Menschen in guter Gesundheit zu spenden, die noch nie Blut, besonders junge Menschen, gegeben haben, um damit zu beginnen.  ",1,1,10,9,1,1,1,9,9,0
Blood donation should be mandatory,Blutspende sollte obligatorisch sein,socialblood is a Facebook application that connects blood donors and recipients of the same blood type through Facebook.,0,0,0,"socialblood ist eine Facebook-Anwendung, die Blutspender und Empfänger der gleichen Blutgruppe über Facebook miteinander verbindet.",0,1,7,0,7,,,0,0,0,"socialblood ist eine Facebook-Anwendung, die Blutspender und Empfänger des gleichen Bluttyps über Facebook verbindet.",0,1,8,0,8,,,0,0,0
Child labor should be legalized,Kinderarbeit sollte legalisiert werden,"138 and 182 lead in the fight against child labour, while Nos.",0,0.444444444,-1,"138 und 182 sind führend im Kampf gegen Kinderarbeit, während die Nos",1,0.858774013,10,8,2,-1,1,8,1,7,"138 und 182 führen im Kampf gegen Kinderarbeit, während Nos.",1,0.901043511,10,7,3,-1,1,7,0,7
Child labor should be legalized,Kinderarbeit sollte legalisiert werden,"He supported the use of child labor, and was in favor of high tariffs to protect domestic industry.",1,0.555555556,1,Er befuerwrotete Kinderarbeit und hohe Tarife um die inlaenidsche Industry zu schuetzen.,1,1,10,10,0,1,1,10,7,3,Er unterstützte den Einsatz von Kinderarbeit und war für hohe Zölle zum Schutz der heimischen Industrie.,1,0.937688685,10,7,3,1,1,7,7,0
Criticism of the Iraq War is justified,Kritik an dem Irak-Krieg ist berechtigt,Irey attacked Murtha for his criticism of the Iraq war.,0,0.3,-1,Irey griff Murtha wegen seiner Kritik am Irak-Krieg an.,0,1,7,0,7,,,0,0,0,Irey griff Murtha wegen seiner Kritik an dem Irak-Krieg an.,0,1,7,0,7,,,0,0,0
Criticism of the Iraq War is justified,Kritik an dem Irak-Krieg ist berechtigt,"Rieckhoff's book, Chasing Ghosts, is a scathing criticism of the Iraq War and President George Bush that was praised by most critics.",0,0.5,1,"Rieckhoffs Buch, Chasing Ghosts, ist eine beissende Kritik des Iraq Kriegs und Praesident George Bush, das von den meisten Kritikern gelobt wurde .",0,0.715346424,10,4,6,-1,1,4,3,1,"Rieckhoffs Buch, Chasing Ghosts, ist eine beängstigte Kritik an dem Irak-Krieg und Präsident George Bush, der von den meisten Kritikern gelobt wurde.",0,0.782429643,10,4,6,-1,1,4,3,1
Emergency contraception should be subsidized,Notfallkontrazeption sollte subventioniert werden,"""A study in the UK found that ""the shift towards greater promotion of emergency birth control appears to have (..) worsened the impact of STI rates since 2000."" .  ",1,0.6,-1,"Eine Studie in UK befand, dass ""die Verlagerung auf mehr Foerderung von Notgeburtenkontrolle, die Auswirkung auf STI Faelle seit 2000"" verschlechter zu haben scheint.",0,0.560999417,10,5,5,1,1,5,3,2,"""Eine Studie im Vereinigten Königreich stellte fest, dass"" die Verschiebung hin zu einer stärkeren Förderung der Notleihkontrolle (...) die Auswirkungen der STI-Raten seit dem Jahr 2000 noch verschlimmert hat. ""  ",0,0.945667016,10,1,9,,,1,0,1
Emergency contraception should be subsidized,Notfallkontrazeption sollte subventioniert werden,"A few different drugs were studied, with a focus on high-dose estrogens, and it was originally hoped that postcoital contraception would prove viable as an ongoing contraceptive method.",0,0.3,1,"Es wurden einige verschiedene Medikamente untersucht, wobei der Schwerpunkt auf hochdosierten Östrogenen lag, und man hoffte ursprünglich, dass sich die postkoitale Empfängnisverhütung als fortlaufende Verhütungsmethode als praktikabel erweisen würde.",0,0.957803642,11,3,8,,,3,2,1,"Ein paar verschiedene Medikamente wurden untersucht, mit einem Fokus auf hochdosierte Östrogene, und es war ursprünglich gehofft, dass postcoital Kontrazeption sich als fortlaufendes Verhütungsverfahren als tragfähig erweisen würde.",0,1,7,0,7,,,0,0,0
