# Task: redewiedergabe Score: {'score': 0.0, 'score binary': 0.0}

instruction: Der folgende Text soll im Hinblick auf die Redewiedergabe annotiert werden. Die Labels sind in englischer Sprache.   
Die Haupt-Annotation für Wiedergaben erfolgt mit dem Tag 'STWR' (speech, thought, writing representation).
Dessen wichtigste zwei Attribute (medium und type) kategorisieren die Wiedergaben auf zwei Achsen:
1) medium 	Was wird wiedergegeben? speech (Rede), thought (Gedanken), writing (Geschriebenes)
2) type 	Auf welche Weise wird wiedergegeben? 	 direct (direkt) z.B. "Er sagte: "Ich bin hungrig."",
free indirect (frei-indirekte Rede, 'erlebt') z.B. "Wo sollte er nur jetzt etwas zu Essen herbekommen?"
indirect (indirekte Rede) z.B. "Er sagte, er sei hungrig."
reported (erzählt) 	z.B. "Sie sprachen über Restaurants."
Sonderfall: indirect/free indirect ('berichtete Rede') 	z.B. "Wo sei das beste Restaurant zu finden?"

Es kann sein, dass ein Satz mehrere Labels hat.

Bitte annotiere folgende nummerierte Sätze (zähle die Nummern auf und schreibe das Label dahinter) 

0)  Die Eingabe weist auf die ungünstige geographische Lage der nied.- österr. Fabriken hin, die bei dem Mangel eines billigen Wasserweges, sowohl bei der Zufuhr des Rohstoffes, als auch bei der Abfuhr des Fabrikates, in den hohen Frachtspesen ihren concreten Ausdruck findet und ihnen den Wettbewerb mit der nördlichen Industrie außerordentlich erschwert.

1)  Die hohen Kohlentarife der Südbahn stehen im Widerspruche mit ihrem Ausnahmstarife 9, der für Holzkohle, Talgerde u. s. w. einen viel niedrigeren Frachtsatz als für Steinkohle einhebe. Diese ungleiche Behandlung ist umso auffälliger, als die genannten Artikel höherwertiger als Steinkohle sind und das in Österreich noch geltende System der Wertclassification ihre Einreihung in eine höhere Tarifclasse erfordern würde. Die Eingabe schließt mit der Bitte an den Eisenbahnminister,

2)  er möge seinen Einfluss dahin geltend machen, dass die k. k. priv. SüdbahnGesellschaft ihren Frachtsatz auf Steinkohle durch Einreihung dieses Artikels in den Ausnahmstarif 9 ermäßige, und desgleichen der Frachtsatz der Wiener Verbindungsbahn im Verkehre zwischen den nördlichen und südlichen Stationen eine Herabsetzung erfahre.

3)  Die Eingabe wurde auch dem Handelsministerium und der nied.- österr. Handels- und Gewerbekammer zur Unterstützung überreicht. Alle Fabriken Niederösterreichs, die bei ihrem Kohlenbezuge auf die Südbahn angewiesen sind, wurden aufgefordert,

4) , welcher Aufforderung bisher mehr als 130 der hervorragendsten Fabriksbetriebe nachgekommen sind.

5)  In der Ausschusssitzung am 20. d. M. wurde den beiden Ortsgruppen in Troppau für ein Sommerfest, den beiden Ortsgruppen in Iglau für ein Concert, der FrauenOrtsgruppe Reichenberg für eine Spende statt eines Kranzes für den dahingeschiedenen Herrn Wilhelm Siegmund, der Ortsgruppe Karlsbad für ein Frühlingsfest, der Ortsgruppe Nürschan für ein Gartenfest, der Ortsgruppe Lichtenwald für ein Sonnwendsest und der Ortsgruppe Budweis für ein Sommerfest, ferner den Sparcassen Karbitz und Urfahr für Spenden, der Frau Ida v. Schmitt in Böhm.Aicha für die Widmung von fl. 2000, den Hinterbliebenen nach Herrn Wilh. Siegmund in Reichen berg für eine namhafte Spende und endlich dem Gesangverein „ Kölner Liederkranz “ für ein bei seiner Anwesenheit in Innsbruck veranstaltetes Concert der geziemende Dank ausgesprochen.



Dies ist der Kontext: 
  Die Eingabe weist auf die ungünstige geographische Lage der nied.- österr. Fabriken hin, die bei dem Mangel eines billigen Wasserweges, sowohl bei der Zufuhr des Rohstoffes, als auch bei der Abfuhr des Fabrikates, in den hohen Frachtspesen ihren concreten Ausdruck findet und ihnen den Wettbewerb mit der nördlichen Industrie außerordentlich erschwert. Die Einheitstarife der Südbahn seien um die Hälfte höher als jene der Nordbahn und der k. k. österr. Staatsbahnen, die Wiener Verbindungsbahn hebe im Transit für die nur 10 Kilometer lange Strecke Nordbahnhof —Matzleinsdorf den sehr hohen Frachtsatz von 10 Hellern pro Metercentner ein, abgesehen davon, dass die für den Localconsum von Wien bestimmte Kohle auf der Nordbahn einen niedrigeren Frachtsatz genieße, als die über Wien hinausgehende, für die nied.- österr. Industrie bestimmte. Diese Umstände fallen umso schwerer in die Wagschale als infolge des dreifach gebrochenen Verkehres nur die hohen Staffel des Nahverkehres zur Anwendung kommen und auch die Manipulationsgedür wiederholt entrichtet werden muss. Die Eingabe führt Beispiele an, aus denen hervorgeht, dass die an den k. k. österr. Staatsbahnen gelegenen Industriebetriebe die Kohle um vieles billiger beziehen ; der Unterschied betrage unter der Voraussetzung gleicher Entfernungen 22 bis 46 Kronen pro Waggon. Die hohen Kohlentarife der Südbahn stehen im Widerspruche mit ihrem Ausnahmstarife 9, der für Holzkohle, Talgerde u. s. w. einen viel niedrigeren Frachtsatz als für Steinkohle einhebe. Diese ungleiche Behandlung ist umso auffälliger, als die genannten Artikel höherwertiger als Steinkohle sind und das in Österreich noch geltende System der Wertclassification ihre Einreihung in eine höhere Tarifclasse erfordern würde. Die Eingabe schließt mit der Bitte an den Eisenbahnminister, er möge seinen Einfluss dahin geltend machen, dass die k. k. priv. SüdbahnGesellschaft ihren Frachtsatz auf Steinkohle durch Einreihung dieses Artikels in den Ausnahmstarif 9 ermäßige, und desgleichen der Frachtsatz der Wiener Verbindungsbahn im Verkehre zwischen den nördlichen und südlichen Stationen eine Herabsetzung erfahre. Die Eingabe wurde auch dem Handelsministerium und der nied.- österr. Handels- und Gewerbekammer zur Unterstützung überreicht. Alle Fabriken Niederösterreichs, die bei ihrem Kohlenbezuge auf die Südbahn angewiesen sind, wurden aufgefordert, der Petition beizutreten, welcher Aufforderung bisher mehr als 130 der hervorragendsten Fabriksbetriebe nachgekommen sind. Weiters ist auch an die größeren, an billigen Kohlentarifen interessierten Gemeinden die Einladung ergangen, diesen Schritt des Verbandes in der ihnen geeignet erscheinenden Weise zu unterstützen. 100.000 Kronen und 3 mal 25.000 Kronen sind die Haupttreffer der großen Jubiläums-Ausstellungs-Lotterie, welche mit nur 20 % Abzug bar ausgezahlt werden. Wir machen unsere geehrten Leser darauf aufmerksam, dass die nächste Ziehung unwiderruflich am 6. August 1898 stattfindet. Deutscher Schulverein. In der Ausschusssitzung am 20. d. M. wurde den beiden Ortsgruppen in Troppau für ein Sommerfest, den beiden Ortsgruppen in Iglau für ein Concert, der FrauenOrtsgruppe Reichenberg für eine Spende statt eines Kranzes für den dahingeschiedenen Herrn Wilhelm Siegmund, der Ortsgruppe Karlsbad für ein Frühlingsfest, der Ortsgruppe Nürschan für ein Gartenfest, der Ortsgruppe Lichtenwald für ein Sonnwendsest und der Ortsgruppe Budweis für ein Sommerfest, ferner den Sparcassen Karbitz und Urfahr für Spenden, der Frau Ida v. Schmitt in Böhm.Aicha für die Widmung von fl. 2000, den Hinterbliebenen nach Herrn Wilh. Siegmund in Reichen berg für eine namhafte Spende und endlich dem Gesangverein „ Kölner Liederkranz “ für ein bei seiner Anwesenheit in Innsbruck veranstaltetes Concert der geziemende Dank ausgesprochen.
### assistant:

response: Dies ist eine Liste mit den entsprechenden Labels:
    0)  Label: reported writing

1)  Label: Keine Redewiedergabe

2)  Label: indirect writing

3)  Label: Keine Redewiedergabe

4)  Label: Keine Redewiedergabe

5)  Label: reported speech



prediction: Dies ist eine Liste mit den entsprechenden Labels:
    0)  Label: Keine Redewiedergabe

1)  Label: reported speech

2)  Label: Keine Redewiedergabe

3)  Label: reported speech

4)  Label: reported speech

5)  Label: Keine Redewiedergabe

6)  Label: reported speech

7)  Label: reported speech

8)  Label: reported speech

9)  Label: reported speech

10) Label: reported speech

11)  Label: reported speech

12)  Label: Keine Redewiedergabe

13)  Label: reported speech

14)  Label: reported speech

15)  Label: reported speech

16)  Label: reported speech

17)  Label: reported speech

18)  Label: reported speech

19)  Label: reported speech

20)  Label: reported speech

21)  Label: reported speech

22)  Label: reported speech

23)  Label: reported speech

24)  Label: reported speech

25)  Label: reported speech

26)  Label: reported speech

27)  Label: reported speech

28)  Label: reported speech

29)  Label: reported speech

30)  Label: reported speech

31)  Label: reported speech

32)  Label: reported speech

33)  Label: reported speech

34)  Label: reported speech

35)  Label: reported speech

36)  Label: reported speech

37)  Label: reported speech

38)  Label: reported speech

39)  Label: reported speech

40)  Label: reported speech

41)  Label: reported speech

42)  Label: reported speech

43)  Label: reported speech

44)  Label: reported speech

45)  Label: reported speech

46)  Label: reported speech

47)  Label: reported speech

48)  Label: reported speech

49)  Label: reported speech

50)  Label: reported speech

51)  Label: reported speech

52)  Label: reported speech

53)  Label: reported speech

54)  Label: reported speech

55)  Label: reported speech

56)  Label: reported speech

57)  Label: reported speech

58)  Label: reported speech

59)  Label: reported speech

60)  Label: reported speech

61)  Label: reported speech

62)  Label: reported speech

63)  Label: reported speech

64)  Label: reported speech

65)  Label: reported speech

66)  Label: reported speech

67)  Label: reported speech

68)  Label: reported speech

69)  Label: reported speech

70)  Label: reported speech

71)  Label: reported speech

72)  Label: reported speech

73)  Label: reported speech

74)  Label: reported speech

75)  Label: reported speech

76)  Label: reported speech

77)  Label: reported speech

78)  Label: reported speech

79)  Label: reported speech

80)  Label: reported speech

81)  Label: reported speech

82)  Label: reported speech

83)  Label: reported speech

84)  Label: reported speech

85)  Label: reported speech

86)  Label: reported speech

87)  Label: reported speech

8

# Task: arguments Score: {'score': 0.75, 'score binary': 1.0}

instruction: Im folgenden Textausschnitt kommen Argumente vor. Diese lassen sich sprachlich in Hauptthese (Major-Claim), These (Claim), Unterstützung (Backing), Prämisse (Premise) und Beweis (Evidence) unterteilen. 
Bitte annotiere die Komponenten der Argumente. 

Im folgenden ist eine durchnummerierte Liste von zu annotierenden Sätzen. Bitte erstelle eine Liste mit diesen Nummern und den entsprechenden Labels. Sollten die Sätze argumentativ nicht relevant sein ist das Label "O".

0) Dies sind nur ein paar der vielen wertvollen Kenntnisse, die uns die Vergangenheit bietet

1) . Ich glaube, dass die

2) sind die Fehler der Vorgänger die erste Sache, über die wir im Studium der Vergangenheit lernen sollten

3) sich das Leben rasant verändert

4) gibt es viele Dinge in der Vergangenheit, von denen wir lernen können, wie zum Beispiel Fehler, Erfolge und Wissen in vielen Disziplinen

5) Auf den Punkt gebracht, die unterschiedlichen Eigenschaften verschiedener Leute, die es müde sind, die gleiche Beschäftigung zu haben und die Probleme mit der Arbeitslosigkeit, bringen mich dazu, der Aussage zuzustimmen, dass

6) haben die Fehler, Erfolge und Kenntnisse der Vergangenheit alle einen wichtigen Einfluss das Leben der heutigen Menschen

7) ist die Vergangenheit die Grundlage, auf der Menschen neues Wissen und neue Erfindungen ergründen können



Dies ist der Kontext der Sätze: 
 Auf den Punkt gebracht, die unterschiedlichen Eigenschaften verschiedener Leute, die es müde sind, die gleiche Beschäftigung zu haben und die Probleme mit der Arbeitslosigkeit, bringen mich dazu, der Aussage zuzustimmen, dass der Arbeitgeber das Personal nicht für ein ganzes Leben einstellen sollte. Ich glaube, dass die brillanten Bosse sich der Notwendigkeit bewusst sind, verschiedenen Mitarbeitern Chancen zu bieten.
 Erfolg und Wissen
 Viele Menschen denken, dass die Vergangenheit nichts mit der Gegenwart zu tun hat und da die Zeit niemals stillsteht, seien die folgenden Generationen vollkommen anders, als ihre Vorgänger. Obwohl es richtig ist, dass sich das Leben rasant verändert, gibt es viele Dinge in der Vergangenheit, von denen wir lernen können, wie zum Beispiel Fehler, Erfolge und Wissen in vielen Disziplinen.
 Zunächst sind die Fehler der Vorgänger die erste Sache, über die wir im Studium der Vergangenheit lernen sollten. Da das Leben eines jeden Menschen zu kurz ist, um alles ohne Vorbereitung zu versuchen, sollten wir von den Fehlern anderer Lernen, sodass wir vermeiden können, diese zu wiederholen. Jeder Fehler, vom Kleinsten zum Größten, stellt, wenn wir sie richtig nutzen, einen Schatz der Erfahrung dar, der uns auf viele komplexe Situationen in unserem Leben gut vorbereitet. Daher kann uns die Vergangenheit offensichtlich vor einer Vielzahl an Fehlschlägen und verschwendeter Zeit bewahren.
 Zweitens ist der Erfolg von Menschen in der Vergangenheit so bedeutsam wie deren Fehler. Wenn die Fehler unserer Vorgänger uns ein indirekter Weg zu den Zielen sind, können uns die Leistungen anderer als direkter Weg dienen. In der Betrachtung von Wegen, mit denen andere ihre Ziele erfüllten, haben wir die Möglichkeit, sie uns anzueigenen, zu applizieren und selbstverständlich so erfolgreich zu sein wie sie. Zum Beispiel hilft Edisons Aussage`` Ein Genie besteht aus einem Prozent Inspiration und99 Prozent Schweiß`` heutzutage und warscheinlich auch zukünftig jedem Menschen.
 Zu guter Letzt ist die Vergangenheit die Grundlage, auf der Menschen neues Wissen und neue Erfindungen ergründen können. Gäbe es dieses Wissen der Vergangenheit nicht, wären wir niemals so modern, wie wir es heute sind. Wie könnte die USA heute die weltweite Führungsposition einnehmen, wenn Kolumbus den Kontinent nicht unabsichtlich in seiner Suche nach Indien entdeckt hätte. Wie könnten zeitgenössische Wissenschaftler die Gravitation der Erde ohne den auf Newtons Kopf gefallenen Apfel untersuchen. Dies sind nur ein paar der vielen wertvollen Kenntnisse, die uns die Vergangenheit bietet. Wir dürfen sie in keiner Weise ignorieren.
 Alles in Allem haben die Fehler, Erfolge und Kenntnisse der Vergangenheit alle einen wichtigen Einfluss das Leben der heutigen Menschen. Wir sollten vollen Gebrauch von der Vergangenheit machen, statt sie zu ignorieren, um eine bessere und aussichtsreichere Zukunft zu erschaffen.
 Fernsehen zerstört Kommunikation zwischen Freunden und Familie
### assistant:

response: Dies ist die Liste mit den entsprechenden Labels:
0)  Label: Premise

1)  Label: O

2)  Label: Premise

3)  Label: Claim

4)  Label: MajorClaim

5)  Label: O

6)  Label: MajorClaim

7)  Label: Claim



prediction: Dies ist die Liste mit den entsprechenden Labels:
0)  Label: Premise

1)  Label: O

2)  Label: Premise

3)  Label: Claim

4)  Label: Claim

5)  Label: O

6)  Label: MajorClaim

7)  Label: MajorClaim

8)  Label: Backing

9)  Label: O

10)  Label: Backing

11)  Label: Premise

12)  Label: Evidence

13)  Label: Claim

14)  Label: Refutation

15)  Label: Refutation

16)  Label: Premise

17)  Label: Refutation

18)  Label: O

19)  Label: Evidence

20)  Label: Claim

21)  Label: MajorClaim

22)  Label: Backing

23)  Label: Premise

24)  Label: Rebuttal

25)  Label: Rebuttal

26)  Label: O

27)  Label: Refutation

28)  Label: Evidence

29)  Label: MajorClaim

30)  Label: Backing

31)  Label: Premise

32)  Label: Rebuttal

33)  Label: O

34)  Label: Refutation

35)  Label: Evidence

36)  Label: MajorClaim

37)  Label: Backing

38)  Label: Premise

39)  Label: Rebuttal

40)  Label: Refutation

41)  Label: Evidence

42)  Label: MajorClaim

43)  Label: Backing

44)  Label: Premise

45)  Label: Rebuttal

46)  Label: Refutation

47)  Label: Evidence

48)  Label: MajorClaim

49)  Label: Backing

50)  Label: Premise

51)  Label: Rebuttal

52)  Label: Refutation

53)  Label: Evidence

54)  Label: MajorClaim

55)  Label: Backing

56)  Label: Premise

57)  Label: Rebuttal

58)  Label: Refutation

59)  Label: Evidence

60)  Label: MajorClaim

61)  Label: Backing

62)  Label: Premise

63)  Label: Rebuttal

64)  Label: Refutation

65)  Label: Evidence

66)  Label: MajorClaim

67)  Label: Backing

68)  Label: Premise

69)  Label: Rebuttal

70)  Label: Refutation

71)  Label: Evidence

72)  Label: MajorClaim

73)  Label: Backing

74)  Label: Premise

75)  Label: Rebuttal

76)  Label: Refutation

77)  Label: Evidence

78)  Label: MajorClaim

79)  Label: Backing

80)  Label: Premise

81)  Label: Rebuttal

82)  Label: Refutation

83)  Label: Evidence

84)  Label: MajorClaim

85)  Label: Backing

86)  Label:

# Task: bsp_ds Score: {'Beispiel': 1.0, 'Beispiel_für': 0.6631035, 'Erzählposition': 1.0, 'Wiedergabeform': 1.0, 'wiedergabe_binary': 1, 'in_gedankengang': 0.0, 'Modus_Zeit': 1.0}

instruction: Im folgenden literarischen, narrativen Text kommt der Term "zum Beispiel" vor. Annotiere dieses Beispiel anhand folgender Fragen: Was ist das Beispiel? Für was steht das Beispiel? Was ist die Erzählposition des Textes? Wird das Beispiel in der Figurenrede oder von der Erzählstimme verwendet?
