idx,Cheung10k7b64,DettmersAll7b64
bsp_ds;Beispiel,0.6889835745096207,0.9808994928995768
bsp_ds;Beispiel_für,0.41094452887773514,0.5207072099049886
bsp_ds;Erzählposition,0.8333333333333333,0.8888888888888888
bsp_ds;Wiedergabeform,0.5,0.6666666666666666
bsp_ds;wiedergabe_binary,1.0,1.0
bsp_ds;in_gedankengang,0.25,0.6666666666666666
bsp_ds;Modus_Zeit,1.0,0.75
bsp_ds;total_distance,0.8163346409797668,0.794283926486969
bsp_ds;Modus_Zeit_Beispiel,0.8960408866405487,0.3541983664035797
bsp_ds;Modus_Zeit_Text,0.75,1.0
arguments;score,0.2657936507936508,0.3181349206349206
arguments;score binary,0.7207142857142858,0.6613888888888889
redewiedergabe;score,0.41083333333333333,0.6747222222222222
redewiedergabe;score binary,0.5833333333333333,0.8666666666666666
